Year,1,2,3,4,5,6,7,8,9,10,11,12
255,30,30,29,30,30,29,29,29,30,30,29,30
256,29,30,29,30,30,29,30,29,30,29,30,29
257,30,29,30,29,30,29,30,30,29,30,30,29
258,29,29,30,29,30,29,30,30,30,29,30,30
259,29,29,30,29,29,30,29,30,30,29,30,30
260,29,30,29,30,29,29,30,29,30,30,29,30
261,30,29,30,29,30,29,29,30,29,30,29,30
262,30,29,30,30,29,30,29,29,30,29,30,29
263,30,29,30,30,30,29,30,29,29,30,29,30
264,29,29,30,30,30,29,30,29,30,30,29,29
265,30,29,29,30,30,29,30,30,29,30,30,29
266,29,29,30,29,30,29,30,30,29,30,30,29
267,30,29,29,30,29,30,29,30,29,30,30,29
268,30,29,30,29,30,29,30,29,30,29,30,29
269,30,30,29,30,30,29,30,29,29,30,29,30
270,29,29,30,30,30,30,29,30,29,29,30,29
271,29,30,29,30,30,30,30,29,30,29,29,30
272,29,29,30,29,30,30,30,29,30,30,29,29
273,29,30,29,30,29,30,30,29,30,30,29,30
274,29,29,30,29,30,29,30,29,30,30,29,30
275,29,30,29,30,30,29,29,30,29,30,29,30
276,30,29,30,30,29,30,29,29,30,29,30,29
277,30,29,30,30,30,29,30,29,30,29,29,30
278,29,29,30,30,30,30,29,30,29,30,29,29
279,30,29,29,30,30,29,30,30,30,29,30,29
280,29,30,29,29,30,30,29,30,30,29,30,30
281,29,29,30,29,30,29,30,29,30,29,30,30
282,29,30,29,30,29,30,29,29,30,29,30,30
283,30,29,30,29,30,29,30,29,29,30,29,30
284,30,29,30,30,29,30,29,30,29,29,30,29
285,30,29,30,30,29,30,30,29,29,30,29,30
286,29,30,29,30,29,30,30,29,30,29,30,29
287,30,29,30,29,30,29,30,29,30,30,29,30
288,30,29,29,30,29,29,30,29,30,29,30,30
289,30,30,29,29,30,29,29,30,29,30,29,30
290,30,30,29,30,29,30,29,29,29,30,29,30
291,30,30,30,29,30,29,30,29,29,29,30,30
292,29,30,30,29,30,30,29,29,30,29,30,29
293,30,29,30,29,30,30,29,30,29,30,29,30
294,29,30,29,30,29,30,29,30,29,30,30,30
295,29,30,29,29,30,29,29,30,29,30,30,30
296,30,29,29,30,29,30,29,29,30,29,30,30
